symbol,name,price,aca
Au,Gold,160000,0.004
Ag,Silver,2700,0.075
Pt,Platinum,63095,0.005
Pd,Palladium,62135,0.015
Rh,Rhodium,343000,0.001
Ru,Ruthenium,29257,0.001
Ir,Iridium,165000,0.001
Os,Osmium,14000,0.0015
Li,Lithium,105,20
Co,Cobalt,33.7,25
Ni,Nickel,17.5,84
Ga,Gallium,580,19
Ge,Germanium,7000,1.5
As,Arsenic,100,1.8
Se,Selenium,24,0.05
Y,Yttrium,132,33
Nb,Niobium,55,20
Mo,Molybdenum,65,1.2
In,Indium,867,0.25
Sn,Tin,32.5,2.3
Sb,Antimony,47,0.2
Te,Tellurium,103,0.001
Hf,Hafnium,7000,3
Ta,Tantalum,398,2
W,Tungsten,50,1.2
Re,Rhenium,6111,0.0007
Tl,Thallium,9500,0.85
Bi,Bismuth,65,0.2
La,Lanthanum,6,39
Ce,Cerium,7,66.5
Pr,Praseodymium,145,9.2
Nd,Neodymium,150,41.5
Sm,Samarium,120,7.05
Eu,Europium,2400,2
Gd,Gadolinium,250,6.2
Tb,Terbium,5200,1.2
Dy,Dysprosium,1600,5.2
Ho,Holmium,1273,1.3
Er,Erbium,350,3.5
Tm,Thulium,3850,0.52
Yb,Ytterbium,375,3.2
Lu,Lutetium,3600,0.8
Al,Aluminum,2.52,82300
Fe,Iron,0.1,56300
Ti,Titanium,16,5650
Cr,Chromium,50,102
Mn,Manganese,2.04,950
V,Vanadium,178,120
Zr,Zirconium,125,165
Pb,Lead,2,14
Cu,Copper,10.8,60
Zn,Zinc,3.1,70
B,Boron,4,10
Ba,Barium,200,425
Be,Beryllium,850,2.8
Ca,Calcium,3,41500
Cd,Cadmium,5.48,0.2
Cs,Cesium,91295,3
Cl,Chlorine,0.77,145
K,Potassium,13,20900
Mg,Magnesium,3.8,23300
Na,Sodium,2.11,23600
P,Phosphorus,3,1050
Rb,Rubidium,23000,90
S,Sulfur,0.14,350
Sc,Scandium,215000,22
Sr,Strontium,325,370
Th,Thorium,300,9.6
U,Uranium,235,2.7